CustomerNBR,JoinDate,ContractType,PaymentMethod,Status,TariffType,MonthlyUsage_kWh,Email,PhoneNumber,Postcode,DOB
CUST100000,2021-07-13,Rolling,Direct Debit,Cancelled,Peak/Off-Peak,900.33,osbornejeffery@holmes.com,9177982708,18011,1948-02-27
CUST100001,2020-10-18,Fixed,PayPal,Active,Green,220.78,lauriecontreras@hotmail.com,001-086-978-2922x1699,14939,1995-01-11
CUST100002,2022-12-04,Fixed,Direct Debit,Cancelled,Green,553.79,usalazar@hotmail.com,866-934-6547x22698,08309,2003-02-04
CUST100003,2022-09-01,Rolling,PayPal,Active,Economy,345.55,vmerritt@yahoo.com,858-333-9452x2885,46290,1939-01-11
CUST100004,2022-06-26,Variable,Credit Card,Inactive,Peak/Off-Peak,827.93,karen48@yahoo.com,001-158-799-6846x081,47799,1974-01-16
CUST100005,2021-10-09,Fixed,Credit Card,Cancelled,Green,397.62,scott43@rogers-orozco.com,6200342442,18765,1991-11-02
CUST100006,2021-06-16,Fixed,PayPal,Inactive,Economy,758.01,jessebenson@lewis.info,4380571983,39127,1963-06-04
CUST100007,2025-03-23,Fixed,Bank Transfer,Active,Peak/Off-Peak,683.46,clarkrobert@hotmail.com,001-863-840-6665x8004,60845,1964-12-02
CUST100008,2021-04-29,Rolling,Bank Transfer,Cancelled,Peak/Off-Peak,746.74,wwoods@molina-castaneda.biz,973.598.9334,19393,1996-06-17
CUST100009,2024-03-04,Fixed,Credit Card,Pending,Economy,112.68,brobinson@johnson-rogers.biz,212.281.6064x842,72787,1986-06-14
CUST100010,2020-11-08,Rolling,Credit Card,Pending,Peak/Off-Peak,403.4,ncalhoun@johnson.com,(940)572-0259,55692,1950-03-03
CUST100011,2020-11-02,Rolling,Direct Debit,Cancelled,Peak/Off-Peak,365.52,dtaylor@williams.com,9479851583,32285,1961-03-15
CUST100012,2021-05-20,Rolling,Credit Card,Active,Green,706.96,wmurphy@ramirez-bean.biz,(818)268-8615,28122,1998-06-30
CUST100013,2022-06-12,Fixed,PayPal,Pending,Green,273.85,ruizkaitlyn@gmail.com,355.543.9878,29938,1951-07-10
CUST100014,2022-07-25,Rolling,Bank Transfer,Cancelled,Green,649.86,debraharrington@hotmail.com,001-015-739-9305x61648,07823,1982-04-22
CUST100015,2024-11-19,Variable,Bank Transfer,Pending,Economy,674.85,herringjames@howell.com,001-408-588-7704x3581,98411,1997-09-23
CUST100016,2020-10-23,Fixed,Direct Debit,Cancelled,Standard,464.94,elliottjeffery@hotmail.com,288-013-3613,18562,1990-10-15
CUST100017,2025-05-11,Fixed,Bank Transfer,Active,Peak/Off-Peak,484.93,gary91@gmail.com,+1-612-075-0110,15867,1988-06-15
CUST100018,2022-04-11,Fixed,Bank Transfer,Active,Economy,395.13,lanesarah@hotmail.com,(481)934-6676,91698,1935-08-16
CUST100019,2025-03-22,Fixed,PayPal,Inactive,Standard,460.75,mdavid@gmail.com,(506)180-9190x15814,92770,1985-07-29
CUST100020,2024-02-26,Fixed,Bank Transfer,Pending,Standard,185.85,terrykevin@burke.com,+1-491-476-6072x83268,19254,1965-01-23
CUST100021,2022-06-17,Rolling,Direct Debit,Inactive,Economy,983.52,estanley@hotmail.com,245-088-2100x9968,49975,2003-08-31
CUST100022,2024-05-28,Rolling,Direct Debit,Active,Standard,529.71,atkinsonlynn@gmail.com,+1-143-536-8222,96587,1973-03-09
CUST100023,2022-12-14,Fixed,Bank Transfer,Cancelled,Green,942.24,cynthia72@yahoo.com,943.129.0878,03954,1971-01-03
CUST100024,2020-08-22,Rolling,Credit Card,Active,Economy,106.15,christina87@graham-simon.com,414-139-7552,91743,1970-08-02
CUST100025,2021-12-11,Fixed,Bank Transfer,Active,Peak/Off-Peak,445.22,mariahmiller@yahoo.com,+1-314-913-5775x94929,56168,1976-06-03
CUST100026,2024-03-07,Rolling,Direct Debit,Cancelled,Green,502.06,qhudson@rogers-snyder.com,001-556-205-3364,49218,1991-01-11
CUST100027,2023-06-25,Rolling,Direct Debit,Inactive,Peak/Off-Peak,340.29,zlewis@peterson-beard.com,(257)775-4781x291,07589,1967-06-18
CUST100028,2022-12-13,Rolling,PayPal,Pending,Standard,396.66,christophercortez@peters-allen.info,283-411-0809x969,92435,1935-02-25
CUST100029,2021-11-28,Rolling,Bank Transfer,Active,Green,624.21,fmcguire@yahoo.com,084.887.2563,14395,1991-01-03
CUST100030,2022-06-01,Variable,Bank Transfer,Active,Peak/Off-Peak,615.59,tholt@perkins.biz,001-942-788-1658x03928,87368,1939-01-13
CUST100031,2023-06-13,Fixed,PayPal,Pending,Economy,335.4,jacqueline44@yahoo.com,(722)992-7503,76733,1936-09-13
CUST100032,2021-06-15,Variable,Direct Debit,Active,Standard,423.6,griffithleslie@herrera.com,001-731-453-0385x67700,10170,1938-02-27
CUST100033,2021-05-17,Rolling,PayPal,Pending,Peak/Off-Peak,312.67,jenny89@yahoo.com,+1-518-449-8926x6591,62999,1955-06-18
CUST100034,2023-10-26,Variable,Credit Card,Pending,Standard,701.01,kennethward@smith-ferguson.com,463.865.5779x08272,78348,1985-07-17
